State,County,Tract,HHSize,HHWorkers,HHIncome,nHHs
6,61,20106,3,2,med,32
6,61,20106,3,3+,med,8
6,61,20106,4+,0,med,6
6,61,20106,4+,1,med,31
6,61,20106,4+,2,med,45
6,61,20106,4+,3+,med,16
6,61,20107,1,0,high,0
6,61,20107,1,1,high,0
6,61,20107,2,0,high,0
6,61,20107,2,1,high,0
6,61,20107,2,2,high,0
6,61,20107,3,0,high,0
6,61,20107,3,1,high,0
6,61,20107,3,2,high,0
6,61,20107,3,3+,high,0
6,61,20107,4+,0,high,0
6,61,20107,4+,1,high,0
6,61,20107,4+,2,high,0
6,61,20107,4+,3+,high,0
6,61,20107,1,0,low,0
6,61,20107,1,1,low,0
6,61,20107,2,0,low,0
6,61,20107,2,1,low,0
6,61,20107,2,2,low,0
6,61,20107,3,0,low,0
6,61,20107,3,1,low,0
6,61,20107,3,2,low,0
6,61,20107,3,3+,low,0
6,61,20107,4+,0,low,0
6,61,20107,4+,1,low,0
6,61,20107,4+,2,low,0
6,61,20107,4+,3+,low,0
6,61,20107,1,0,med,0
6,61,20107,1,1,med,0
6,61,20107,2,0,med,0
6,61,20107,2,1,med,0
6,61,20107,2,2,med,0
6,61,20107,3,0,med,0
6,61,20107,3,1,med,0
6,61,20107,3,2,med,0
6,61,20107,3,3+,med,0
6,61,20107,4+,0,med,0
6,61,20107,4+,1,med,0
6,61,20107,4+,2,med,0
6,61,20107,4+,3+,med,0
32,5,301,1,0,high,0
32,5,301,1,1,high,0
32,5,301,2,0,high,0
32,5,301,2,1,high,0
32,5,301,2,2,high,0
32,5,301,3,0,high,0
32,5,301,3,1,high,0
32,5,301,3,2,high,0
32,5,301,3,3+,high,0
32,5,301,4+,0,high,0
32,5,301,4+,1,high,0
32,5,301,4+,2,high,0
32,5,301,4+,3+,high,0
32,5,301,1,0,low,11
32,5,301,1,1,low,7
32,5,301,2,0,low,12
32,5,301,2,1,low,9
32,5,301,2,2,low,8
32,5,301,3,0,low,1
32,5,301,3,1,low,3
32,5,301,3,2,low,4
32,5,301,3,3+,low,1
32,5,301,4+,0,low,1
32,5,301,4+,1,low,4
32,5,301,4+,2,low,5
32,5,301,4+,3+,low,2
32,5,301,1,0,med,6
32,5,301,1,1,med,4
32,5,301,2,0,med,6
32,5,301,2,1,med,5
32,5,301,2,2,med,4
32,5,301,3,0,med,1
32,5,301,3,1,med,2
32,5,301,3,2,med,2
32,5,301,3,3+,med,0
32,5,301,4+,0,med,0
32,5,301,4+,1,med,2
32,5,301,4+,2,med,3
32,5,301,4+,3+,med,1
32,5,302,1,0,high,18
32,5,302,1,1,high,11
32,5,302,2,0,high,20
32,5,302,2,1,high,16
32,5,302,2,2,high,13
32,5,302,3,0,high,2
32,5,302,3,1,high,5
32,5,302,3,2,high,6
32,5,302,3,3+,high,2
32,5,302,4+,0,high,1
32,5,302,4+,1,high,6
32,5,302,4+,2,high,9
32,5,302,4+,3+,high,3
32,5,302,1,0,low,86
32,5,302,1,1,low,53
32,5,302,2,0,low,93
32,5,302,2,1,low,73
32,5,302,2,2,low,60
32,5,302,3,0,low,9
32,5,302,3,1,low,24
32,5,302,3,2,low,29
32,5,302,3,3+,low,7
32,5,302,4+,0,low,5
32,5,302,4+,1,low,28
32,5,302,4+,2,low,41
32,5,302,4+,3+,low,15
32,5,302,1,0,med,46
32,5,302,1,1,med,29
32,5,302,2,0,med,50
32,5,302,2,1,med,39
32,5,302,2,2,med,32
32,5,302,3,0,med,5
32,5,302,3,1,med,13
32,5,302,3,2,med,16
32,5,302,3,3+,med,4
32,5,302,4+,0,med,3
32,5,302,4+,1,med,15
32,5,302,4+,2,med,22
32,5,302,4+,3+,med,8
32,5,400,1,0,high,81
32,5,400,1,1,high,50
32,5,400,2,0,high,88
32,5,400,2,1,high,69
32,5,400,2,2,high,56
32,5,400,3,0,high,8
32,5,400,3,1,high,23
32,5,400,3,2,high,28
32,5,400,3,3+,high,7
32,5,400,4+,0,high,5
32,5,400,4+,1,high,26
32,5,400,4+,2,high,39
32,5,400,4+,3+,high,14
32,5,400,1,0,low,176
32,5,400,1,1,low,110
32,5,400,2,0,low,192
32,5,400,2,1,low,150
32,5,400,2,2,low,123
32,5,400,3,0,low,18
32,5,400,3,1,low,50
32,5,400,3,2,low,60
32,5,400,3,3+,low,15
32,5,400,4+,0,low,11
32,5,400,4+,1,low,58
32,5,400,4+,2,low,84
32,5,400,4+,3+,low,30
32,5,400,1,0,med,78
32,5,400,1,1,med,49
32,5,400,2,0,med,85
32,5,400,2,1,med,66
32,5,400,2,2,med,54
32,5,400,3,0,med,8
32,5,400,3,1,med,22
32,5,400,3,2,med,27
32,5,400,3,3+,med,6
32,5,400,4+,0,med,5
32,5,400,4+,1,med,26
32,5,400,4+,2,med,37
32,5,400,4+,3+,med,13
32,31,3302,1,0,high,57
32,31,3302,1,1,high,35
32,31,3302,2,0,high,62
32,31,3302,2,1,high,48
32,31,3302,2,2,high,39
32,31,3302,3,0,high,6
32,31,3302,3,1,high,16
32,31,3302,3,2,high,19
32,31,3302,3,3+,high,5
32,31,3302,4+,0,high,3
32,31,3302,4+,1,high,19
32,31,3302,4+,2,high,27
32,31,3302,4+,3+,high,10
32,31,3302,1,0,low,224
32,31,3302,1,1,low,139
32,31,3302,2,0,low,243
32,31,3302,2,1,low,189
32,31,3302,2,2,low,155
32,31,3302,3,0,low,23
32,31,3302,3,1,low,64
32,31,3302,3,2,low,76
32,31,3302,3,3+,low,18
32,31,3302,4+,0,low,13
32,31,3302,4+,1,low,73
32,31,3302,4+,2,low,107
32,31,3302,4+,3+,low,38
32,31,3302,1,0,med,59
32,31,3302,1,1,med,37
32,31,3302,2,0,med,64
32,31,3302,2,1,med,50
32,31,3302,2,2,med,41
32,31,3302,3,0,med,6
32,31,3302,3,1,med,17
32,31,3302,3,2,med,20
32,31,3302,3,3+,med,5
32,31,3302,4+,0,med,4
32,31,3302,4+,1,med,19
32,31,3302,4+,2,med,28
32,31,3302,4+,3+,med,10
32,31,3304,1,0,high,88
32,31,3304,1,1,high,54
32,31,3304,2,0,high,95
32,31,3304,2,1,high,74
32,31,3304,2,2,high,61
32,31,3304,3,0,high,9
32,31,3304,3,1,high,25
32,31,3304,3,2,high,30
32,31,3304,3,3+,high,7
32,31,3304,4+,0,high,5
32,31,3304,4+,1,high,29
32,31,3304,4+,2,high,42
32,31,3304,4+,3+,high,15
32,31,3304,1,0,low,115
32,31,3304,1,1,low,71
32,31,3304,2,0,low,124
32,31,3304,2,1,low,97
32,31,3304,2,2,low,80
32,31,3304,3,0,low,12
32,31,3304,3,1,low,33
32,31,3304,3,2,low,39
32,31,3304,3,3+,low,9
32,31,3304,4+,0,low,7
32,31,3304,4+,1,low,37
32,31,3304,4+,2,low,55
32,31,3304,4+,3+,low,20
32,31,3304,1,0,med,43
32,31,3304,1,1,med,27
32,31,3304,2,0,med,46
32,31,3304,2,1,med,36
32,31,3304,2,2,med,30
32,31,3304,3,0,med,4
32,31,3304,3,1,med,12
32,31,3304,3,2,med,15
32,31,3304,3,3+,med,4
32,31,3304,4+,0,med,3
32,31,3304,4+,1,med,14
32,31,3304,4+,2,med,20
32,31,3304,4+,3+,med,7
32,510,300,1,0,high,46
32,510,300,1,1,high,28
32,510,300,2,0,high,49
32,510,300,2,1,high,39
32,510,300,2,2,high,32
32,510,300,3,0,high,5
32,510,300,3,1,high,13
32,510,300,3,2,high,16
32,510,300,3,3+,high,4
32,510,300,4+,0,high,3
32,510,300,4+,1,high,15
32,510,300,4+,2,high,22
32,510,300,4+,3+,high,8
32,510,300,1,0,low,215
32,510,300,1,1,low,134
32,510,300,2,0,low,234
32,510,300,2,1,low,182
32,510,300,2,2,low,150
32,510,300,3,0,low,22
32,510,300,3,1,low,61
32,510,300,3,2,low,74
32,510,300,3,3+,low,18
32,510,300,4+,0,low,13
32,510,300,4+,1,low,70
32,510,300,4+,2,low,103
32,510,300,4+,3+,low,37
32,510,300,1,0,med,64
32,510,300,1,1,med,40
32,510,300,2,0,med,70
32,510,300,2,1,med,54
32,510,300,2,2,med,45
32,510,300,3,0,med,7
32,510,300,3,1,med,18
32,510,300,3,2,med,22
32,510,300,3,3+,med,5
32,510,300,4+,0,med,4
32,510,300,4+,1,med,21
32,510,300,4+,2,med,31
32,510,300,4+,3+,med,11
